Accuracy,Macro F1,Binary F1,ROC-AUC,Dataset,Condition,Model
0.7868852459016393,0.6729896907216495,0.48,0.6537433155080214,heart_data,Raw,Decision Tree
0.819672131147541,0.723298969072165,0.56,0.9144385026737969,heart_data,Raw,Random Forest
0.7868852459016393,0.6729896907216495,0.48,0.8328877005347592,heart_data,Raw,KNN
0.819672131147541,0.723298969072165,0.56,0.9090909090909092,heart_data,Raw,Logistic Regression
0.6721311475409836,0.5579710144927537,0.3333333333333333,0.6256684491978609,heart_data,Raw,ANN (MLP)
0.7704918032786885,0.6578525641025641,0.46153846153846156,0.6423796791443852,heart_data,SMOTE,Decision Tree
0.8524590163934426,0.80538816022687,0.7096774193548387,0.9131016042780749,heart_data,SMOTE,Random Forest
0.819672131147541,0.7512050426399703,0.6206896551724138,0.8696524064171124,heart_data,SMOTE,KNN
0.8688524590163934,0.8231884057971014,0.7333333333333333,0.9064171122994651,heart_data,SMOTE,Logistic Regression
0.7540983606557377,0.6995073891625616,0.5714285714285714,0.803475935828877,heart_data,SMOTE,ANN (MLP)
