Accuracy,Macro F1,Binary F1,ROC-AUC,Dataset,Condition,Model
0.8974358974358975,0.8655172413793104,0.9310344827586207,0.8655172413793103,parkinsons_data,Raw,Decision Tree
0.9487179487179487,0.9277777777777778,0.9666666666666667,0.9724137931034483,parkinsons_data,Raw,Random Forest
0.9743589743589743,0.9652096342551293,0.9830508474576272,0.9896551724137932,parkinsons_data,Raw,KNN
0.8974358974358975,0.8555555555555556,0.9333333333333333,0.9586206896551724,parkinsons_data,Raw,Logistic Regression
0.5384615384615384,0.43019480519480524,0.6785714285714286,0.5517241379310345,parkinsons_data,Raw,ANN (MLP)
0.9743589743589743,0.9674185463659147,0.9824561403508771,0.9827586206896552,parkinsons_data,SMOTE,Decision Tree
0.9743589743589743,0.9674185463659147,0.9824561403508771,0.9931034482758622,parkinsons_data,SMOTE,Random Forest
0.8461538461538461,0.8269230769230769,0.8846153846153846,0.9775862068965517,parkinsons_data,SMOTE,KNN
0.8461538461538461,0.8194444444444444,0.8888888888888888,0.9620689655172414,parkinsons_data,SMOTE,Logistic Regression
0.6923076923076923,0.6538461538461539,0.7692307692307693,0.8586206896551724,parkinsons_data,SMOTE,ANN (MLP)
